prompt_id,file_name,phase,area,module,bounded_context,mode,objective,estimated_scope_size,main_files_count,depends_on,can_run_in_parallel,risk_level,acceptance_summary
P-00-01,P-00-01-cancellation-token-identityaccess.md,Phase 00 Foundation,backend,identityaccess,Identity,REFACTOR,Add CancellationToken to all async methods in IdentityAccess module,MEDIUM,40,none,yes,LOW,All async handlers and repositories accept and propagate CancellationToken
P-00-02,P-00-02-cancellation-token-catalog.md,Phase 00 Foundation,backend,catalog,Catalog,REFACTOR,Add CancellationToken to all async methods in Catalog module,LARGE,60,none,yes,LOW,All async handlers and repositories accept and propagate CancellationToken
P-00-03,P-00-03-cancellation-token-changegovernance.md,Phase 00 Foundation,backend,changegovernance,Changes,REFACTOR,Add CancellationToken to all async methods in ChangeGovernance module,MEDIUM,45,none,yes,LOW,All async handlers and repositories accept and propagate CancellationToken
P-00-04,P-00-04-cancellation-token-governance.md,Phase 00 Foundation,backend,governance,Governance,REFACTOR,Add CancellationToken to all async methods in Governance module,MEDIUM,35,none,yes,LOW,All async handlers and repositories accept and propagate CancellationToken
P-00-05,P-00-05-cancellation-token-aiknowledge.md,Phase 00 Foundation,backend,aiknowledge,AI,REFACTOR,Add CancellationToken to all async methods in AIKnowledge module,MEDIUM,30,none,yes,LOW,All async handlers and repositories accept and propagate CancellationToken
P-00-06,P-00-06-cancellation-token-remaining.md,Phase 00 Foundation,backend,all,Cross-cutting,REFACTOR,Add CancellationToken to remaining modules (OpIntel Audit Notifications Config Integrations Knowledge Analytics),MEDIUM,27,none,yes,LOW,All remaining async methods accept CancellationToken
P-00-07,P-00-07-migration-knowledge.md,Phase 00 Foundation,database,knowledge,Knowledge,IMPLEMENTATION,Create EF Core migration for Knowledge module DbContext,SMALL,5,none,yes,LOW,Migration creates all Knowledge tables successfully
P-00-08,P-00-08-migration-integrations.md,Phase 00 Foundation,database,integrations,Integrations,IMPLEMENTATION,Create EF Core migration for Integrations module DbContext,SMALL,5,none,yes,LOW,Migration creates all Integrations tables successfully
P-00-09,P-00-09-migration-productanalytics.md,Phase 00 Foundation,database,productanalytics,Analytics,IMPLEMENTATION,Create EF Core migration for ProductAnalytics module DbContext,SMALL,3,none,yes,LOW,Migration creates ProductAnalytics tables successfully
P-01-01,P-01-01-replace-issimulated-reliability.md,Phase 01 Critical,backend,operationalintelligence,Reliability,IMPLEMENTATION,Replace IsSimulated in ListServiceReliability Coverage Trend DomainSummary TeamSummary handlers with real DB queries,LARGE,13,P-00-06,no,HIGH,All reliability handlers return real data from DB
P-01-02,P-01-02-replace-issimulated-cost.md,Phase 01 Critical,backend,operationalintelligence,Cost,IMPLEMENTATION,Replace IsSimulated in cost and automation handlers with real DB queries,MEDIUM,8,P-01-01,no,HIGH,Cost and automation handlers return real data
P-01-03,P-01-03-replace-issimulated-finops.md,Phase 01 Critical,backend,governance,FinOps,IMPLEMENTATION,Replace simulated data in FinOps handlers with real queries,MEDIUM,6,P-01-02,no,HIGH,FinOps handlers return real data from DB
P-01-04,P-01-04-implement-externalai-handlers.md,Phase 01 Critical,backend,aiknowledge,ExternalAI,IMPLEMENTATION,Implement 6 empty ExternalAI handlers (CaptureResponse ConfigurePolicy ApproveKnowledge ReuseKnowledge GetUsage ListCaptures),MEDIUM,8,none,no,MEDIUM,All ExternalAI handlers have functional implementations
P-01-05,P-01-05-implement-orchestration-handlers.md,Phase 01 Critical,backend,aiknowledge,Orchestration,IMPLEMENTATION,Implement 5 empty Orchestration handlers (GenerateRobotFramework ValidateKnowledge GenerateTestScenarios GetConversationHistory SummarizeRelease),MEDIUM,7,P-01-04,no,MEDIUM,All Orchestration handlers have functional implementations
P-01-06,P-01-06-complete-governance-todo-handlers.md,Phase 01 Critical,backend,governance,Governance,IMPLEMENTATION,Complete 8 handlers with TODO comments in Governance module,MEDIUM,10,none,no,MEDIUM,All TODO handlers have complete implementations
P-01-07,P-01-07-implement-change-incident-correlation.md,Phase 01 Critical,backend,changegovernance,Changes,IMPLEMENTATION,Implement change-to-incident correlation logic in ChangeGovernance module,LARGE,12,P-01-01,no,HIGH,Changes can be correlated with incidents
P-02-01,P-02-01-complete-knowledge-crud.md,Phase 02 Backend,backend,knowledge,Knowledge,IMPLEMENTATION,Complete Knowledge module with full CRUD update/delete handlers and FTS search,MEDIUM,10,P-00-07,no,MEDIUM,Knowledge module supports full CRUD and FTS search
P-02-02,P-02-02-complete-integrations-structure.md,Phase 02 Backend,backend,integrations,Integrations,IMPLEMENTATION,Complete Integrations module entity model and base adapter interface,MEDIUM,8,P-00-08,no,MEDIUM,Integrations module has complete entity model and adapter contracts
P-02-03,P-02-03-evidence-pack-generation.md,Phase 02 Backend,backend,changegovernance,Changes,IMPLEMENTATION,Implement evidence pack collection and generation logic,MEDIUM,6,P-01-07,no,MEDIUM,Evidence packs collect real data from changes and correlations
P-02-04,P-02-04-enhance-contract-diff.md,Phase 02 Backend,backend,catalog,Contracts,IMPLEMENTATION,Enhance contract semantic diff to handle full OpenAPI schema changes,MEDIUM,8,none,yes,MEDIUM,Contract diff detects breaking changes accurately
P-02-05,P-02-05-error-code-catalog.md,Phase 02 Backend,backend,all,Cross-cutting,IMPLEMENTATION,Create centralized error code catalog and apply to API responses,MEDIUM,15,none,yes,LOW,All API errors use structured error codes
P-02-06,P-02-06-audit-retention-policy.md,Phase 02 Backend,backend,auditcompliance,Audit,IMPLEMENTATION,Add configurable audit retention and archival strategy,SMALL,5,none,yes,LOW,Audit events can be retained and archived by policy
P-03-01,P-03-01-fix-operations-mock-pages.md,Phase 03 Frontend,frontend,operations,Operations,IMPLEMENTATION,Replace mock data in TeamReliabilityPage ServiceReliabilityDetailPage PlatformOperationsPage with real API calls,MEDIUM,6,P-01-01,no,MEDIUM,Operations pages display real backend data
P-03-02,P-03-02-fix-analytics-mock-pages.md,Phase 03 Frontend,frontend,product-analytics,Analytics,IMPLEMENTATION,Replace mock data in PersonaUsagePage ValueTrackingPage JourneyFunnelPage with real API calls,SMALL,4,P-00-09,no,LOW,Analytics pages display real backend data
P-03-03,P-03-03-fix-finops-demo-banners.md,Phase 03 Frontend,frontend,governance,FinOps,IMPLEMENTATION,Remove DemoBanner and connect FinOps pages to real backend data,MEDIUM,8,P-01-03,no,MEDIUM,FinOps pages show real data without demo banners
P-03-04,P-03-04-fix-i18n-operations.md,Phase 03 Frontend,frontend,operations,Operations,REFACTOR,Add missing i18n keys for Operations pages,SMALL,6,none,yes,LOW,All Operations page strings use i18n keys
P-03-05,P-03-05-fix-i18n-ai-hub.md,Phase 03 Frontend,frontend,ai-hub,AI,REFACTOR,Add missing i18n keys for AI Hub pages,SMALL,5,none,yes,LOW,All AI Hub page strings use i18n keys
P-03-06,P-03-06-fix-i18n-governance.md,Phase 03 Frontend,frontend,governance,Governance,REFACTOR,Add missing i18n keys for Governance pages,SMALL,8,none,yes,LOW,All Governance page strings use i18n keys
P-03-07,P-03-07-persist-ai-conversations.md,Phase 03 Frontend,frontend,ai-hub,AI,IMPLEMENTATION,Persist AI assistant conversations to backend instead of component state,SMALL,4,P-01-05,no,MEDIUM,AI conversations survive page refresh
P-03-08,P-03-08-feature-flag-admin-ui.md,Phase 03 Frontend,frontend,configuration,Configuration,IMPLEMENTATION,Build admin UI for feature flag management,MEDIUM,6,none,yes,LOW,Admins can toggle feature flags via UI
P-04-01,P-04-01-add-contracts-project-analytics.md,Phase 04 Database,architecture,productanalytics,Analytics,IMPLEMENTATION,Add Contracts project to ProductAnalytics module for cross-module contracts,SMALL,3,none,yes,LOW,ProductAnalytics has Contracts project matching other modules
P-04-02,P-04-02-consolidate-trenddirection.md,Phase 04 Database,architecture,all,Cross-cutting,REFACTOR,Consolidate TrendDirection enum to single shared location,SMALL,4,none,yes,LOW,Single TrendDirection enum used by all modules
P-04-03,P-04-03-wire-event-publishing.md,Phase 04 Database,backend,all,Cross-cutting,IMPLEMENTATION,Wire integration event publishing for Integrations and ProductAnalytics modules,MEDIUM,6,P-00-08 P-00-09,no,MEDIUM,New modules publish domain events through outbox
P-05-01,P-05-01-parameterize-change-policies.md,Phase 05 Configuration,backend,changegovernance,Changes,IMPLEMENTATION,Move change window and promotion policies from appsettings to DB-persisted configuration,MEDIUM,8,none,yes,MEDIUM,Change policies are configurable via admin UI without redeploy
P-05-02,P-05-02-parameterize-ai-budgets.md,Phase 05 Configuration,backend,aiknowledge,AI,IMPLEMENTATION,Move AI token budgets and model quotas from appsettings to DB-persisted configuration,SMALL,5,none,yes,LOW,AI budgets configurable via admin UI
P-06-01,P-06-01-update-architecture-docs.md,Phase 06 Documentation,documentation,all,Cross-cutting,DOCUMENTATION,Update architecture docs to reflect actual stack (React Router v7 and Context API instead of TanStack Router and Zustand),SMALL,4,none,yes,LOW,Architecture docs match actual implementation
P-06-02,P-06-02-create-module-inventory-doc.md,Phase 06 Documentation,documentation,all,Cross-cutting,DOCUMENTATION,Create living module inventory document with status and alignment per module,SMALL,2,none,yes,LOW,Module inventory doc exists and is current
P-06-03,P-06-03-create-security-architecture-doc.md,Phase 06 Documentation,documentation,all,Security,DOCUMENTATION,Create security architecture document covering auth/CSRF/encryption/API keys/JWT,MEDIUM,6,none,yes,LOW,Security architecture documented
P-06-04,P-06-04-create-operations-runbook.md,Phase 06 Documentation,documentation,all,Operations,DOCUMENTATION,Create operational runbook for deployment and troubleshooting,SMALL,3,none,yes,LOW,Operations runbook exists with deployment steps
P-07-01,P-07-01-telemetry-ingestion-pipeline.md,Phase 07 Observability,backend,operationalintelligence,Operations,IMPLEMENTATION,Build OpenTelemetry ingestion pipeline for OperationalIntelligence module,LARGE,15,P-01-01,no,HIGH,Real telemetry data flows into OperationalIntelligence tables
P-07-02,P-07-02-health-checks-comprehensive.md,Phase 07 Observability,backend,apihost,Platform,IMPLEMENTATION,Add comprehensive health checks covering all external dependencies and worker health,SMALL,4,none,yes,LOW,Health endpoint reports status of all dependencies
P-07-03,P-07-03-outbox-processor-verification.md,Phase 07 Observability,backend,all,Cross-cutting,HARDENING,Verify and fix outbox processor registration for all modules,MEDIUM,8,P-04-03,no,MEDIUM,All modules correctly publish events through outbox
P-08-01,P-08-01-api-key-hash-migration.md,Phase 08 Security,backend,identityaccess,Identity,HARDENING,Migrate API key storage from reversible AES encryption to one-way hash with prefix display,MEDIUM,6,none,no,HIGH,API keys stored as hashes; only prefix visible
P-08-02,P-08-02-jwt-key-rotation.md,Phase 08 Security,backend,identityaccess,Identity,HARDENING,Implement JWT signing key rotation mechanism,MEDIUM,5,none,no,HIGH,JWT keys can be rotated without service disruption
P-08-03,P-08-03-csrf-rotation-sensitive-actions.md,Phase 08 Security,backend,all,Cross-cutting,HARDENING,Add CSRF token rotation after sensitive actions (password change/role change),SMALL,3,none,yes,LOW,CSRF tokens rotate after sensitive authentication actions
P-09-01,P-09-01-expand-ai-grounding.md,Phase 09 AI,backend,aiknowledge,Runtime,IMPLEMENTATION,Expand AI grounding retrieval to search services contracts changes and incidents,LARGE,10,P-01-04,no,MEDIUM,AI assistant can ground responses in full product context
P-09-02,P-09-02-ai-policy-enforcement.md,Phase 09 AI,backend,aiknowledge,Governance,IMPLEMENTATION,Implement AI model access policy enforcement per tenant/environment/persona,MEDIUM,8,P-01-04,no,MEDIUM,AI model usage governed by configurable policies
P-10-01,P-10-01-gitlab-adapter.md,Phase 10 Integrations,backend,integrations,Integrations,IMPLEMENTATION,Implement GitLab integration adapter for pipeline and deploy event ingestion,MEDIUM,8,P-02-02,no,MEDIUM,GitLab events ingested into NexTraceOne
P-10-02,P-10-02-github-adapter.md,Phase 10 Integrations,backend,integrations,Integrations,IMPLEMENTATION,Implement GitHub integration adapter for webhook and deploy event ingestion,MEDIUM,8,P-02-02,yes,MEDIUM,GitHub events ingested into NexTraceOne
P-10-03,P-10-03-jenkins-adapter.md,Phase 10 Integrations,backend,integrations,Integrations,IMPLEMENTATION,Implement Jenkins integration adapter for build and deploy event ingestion,MEDIUM,8,P-02-02,yes,MEDIUM,Jenkins events ingested into NexTraceOne
P-11-01,P-11-01-licensing-module-domain.md,Phase 11 Licensing,backend,licensing,Licensing,IMPLEMENTATION,Create Licensing module with domain entities (License/Entitlement/Activation/MachineFingerprint),LARGE,20,none,no,HIGH,Licensing domain model established
P-11-02,P-11-02-licensing-module-enforcement.md,Phase 11 Licensing,backend,licensing,Licensing,IMPLEMENTATION,Implement license validation and enforcement runtime,MEDIUM,10,P-11-01,no,HIGH,License enforcement active at runtime
P-12-01,P-12-01-unit-tests-knowledge.md,Phase 12 Tests,testing,knowledge,Knowledge,IMPLEMENTATION,Add unit tests for Knowledge module handlers and domain,MEDIUM,8,P-02-01,yes,LOW,Knowledge module has >80% handler test coverage
P-12-02,P-12-02-unit-tests-integrations.md,Phase 12 Tests,testing,integrations,Integrations,IMPLEMENTATION,Add unit tests for Integrations module handlers and adapters,MEDIUM,8,P-02-02,yes,LOW,Integrations module has >80% handler test coverage
P-12-03,P-12-03-unit-tests-operationalintelligence.md,Phase 12 Tests,testing,operationalintelligence,Operations,IMPLEMENTATION,Add unit tests for OperationalIntelligence handlers after IsSimulated removal,MEDIUM,10,P-01-02,yes,LOW,OperationalIntelligence has >80% handler test coverage
P-12-04,P-12-04-e2e-login-flow.md,Phase 12 Tests,testing,identityaccess,Identity,IMPLEMENTATION,Create Playwright E2E test for login/MFA/tenant-switch flow,MEDIUM,6,none,yes,LOW,E2E test validates complete authentication flow
P-12-05,P-12-05-e2e-contract-creation.md,Phase 12 Tests,testing,catalog,Contracts,IMPLEMENTATION,Create Playwright E2E test for contract creation and review flow,MEDIUM,6,none,yes,LOW,E2E test validates contract lifecycle
P-12-06,P-12-06-e2e-change-promotion.md,Phase 12 Tests,testing,changegovernance,Changes,IMPLEMENTATION,Create Playwright E2E test for change creation and promotion flow,MEDIUM,6,P-01-07,no,MEDIUM,E2E test validates change promotion workflow
P-13-01,P-13-01-remove-dead-code-frontend.md,Phase 13 Cleanup,frontend,all,Cross-cutting,REFACTOR,Remove unused imports/components/dead code paths in frontend,SMALL,10,none,yes,LOW,No unused imports or dead components remain
P-13-02,P-13-02-remove-dead-code-backend.md,Phase 13 Cleanup,backend,all,Cross-cutting,REFACTOR,Remove unused classes/handlers/dead code paths in backend,SMALL,8,none,yes,LOW,No unused handlers or dead code paths remain
P-13-03,P-13-03-seeder-data-scripts.md,Phase 13 Cleanup,backend,all,Cross-cutting,IMPLEMENTATION,Create structured seed data scripts for demo/evaluation environments,MEDIUM,6,P-00-07 P-00-08 P-00-09,no,LOW,Fresh deployment can be seeded with representative demo data
P-13-04,P-13-04-notification-integration-tests.md,Phase 13 Cleanup,testing,notifications,Notifications,IMPLEMENTATION,Add integration tests for SMTP notification channel,SMALL,4,none,yes,LOW,Email delivery verified by integration tests
