prompt_id,execution_order,file_name,phase,area,module,bounded_context,type,objective,main_files_count,depends_on,unblocks,can_run_in_parallel,parallel_group,risk_level
P00.1,1,P00.1-fix-doc-contradictions.md,00-foundation,documentation,cross-cutting,documentation,docs-fix,Correct IMPLEMENTATION-STATUS and ROADMAP contradictions against audit findings,4,none,"P00.2,P00.3",yes,none,low
P00.2,2,P00.2-create-current-state-docs.md,00-foundation,documentation,cross-cutting,documentation,docs-create,Create CURRENT-STATE.md per module area,10,P00.1,"P06.1,P06.5",yes,none,low
P00.3,3,P00.3-align-core-flow-gaps.md,00-foundation,documentation,cross-cutting,documentation,docs-fix,Align CORE-FLOW-GAPS.md to audit evidence,1,P00.1,none,yes,none,low
P01.1,4,P01.1-incident-change-correlation-engine.md,01-critical-core-flows,backend,operationalintelligence,incidents-correlation,feature-implement,"Implement dynamic incident↔change correlation engine with time-window matching, confidence scoring, persistence",8,none,"P01.3,P04.6",yes,group-A,high
P01.2,5,P01.2-real-incidents-persistence.md,01-critical-core-flows,backend,operationalintelligence,incidents-persistence,fix-implement,Ensure all incident endpoints use EfIncidentStore and persist mitigations,6,none,"P01.3,P01.5",yes,group-B,medium
P01.3,11,P01.3-incidents-frontend-real-api.md,01-critical-core-flows,frontend,operations,incidents-frontend,feature-implement,Replace mockIncidents in IncidentsPage.tsx with real API calls and TanStack Query,6,"P01.1,P01.2",P05.1,no,none,high
P01.4,6,P01.4-runbooks-persistence.md,01-critical-core-flows,backend,operationalintelligence,runbooks,feature-implement,Replace 3 hardcoded runbooks with RunbookRecord persistence and CRUD endpoints,5,none,"P01.5,P03.6",yes,group-A,medium
P01.5,7,P01.5-mitigation-workflow-persistence.md,01-critical-core-flows,backend,operationalintelligence,mitigation,fix-implement,Fix CreateMitigationWorkflow and RecordMitigationValidation to persist data,4,P01.4,none,no,none,medium
P01.6,8,P01.6-ai-assistant-real-llm.md,01-critical-core-flows,backend,aiknowledge,ai-assistant,feature-implement,Connect SendAssistantMessage to real LLM via IChatCompletionProvider,5,none,"P01.7,P01.9",yes,group-A,high
P01.7,9,P01.7-ai-conversation-persistence.md,01-critical-core-flows,backend,aiknowledge,ai-orchestration,feature-implement,Persist AI conversations in AiOrchestrationDbContext with token tracking and audit,6,P01.6,P01.8,no,none,medium
P01.8,12,P01.8-ai-assistant-frontend-real-api.md,01-critical-core-flows,frontend,ai-hub,ai-frontend,feature-implement,Replace mockConversations in AiAssistantPage.tsx with real API and SSE streaming,6,"P01.6,P01.7",P05.1,no,none,high
P01.9,10,P01.9-externalai-handlers.md,01-critical-core-flows,backend,aiknowledge,external-ai,feature-implement,Implement essential ExternalAI handlers: provider health check + model registry selection + token tracking,6,P01.6,P02.7,no,none,medium
P01.10,10,P01.10-grounding-quality.md,01-critical-core-flows,backend,aiknowledge,ai-grounding,feature-improve,Expand AI grounding to retrieve real data from Catalog and ChangeIntelligence,5,P01.6,none,yes,group-B,low
P02.1,20,P02.1-outbox-processor-activation.md,02-structural-foundations,backend,platform,outbox,feature-implement,Activate outbox event processing for Catalog + ChangeGovernance + OperationalIntelligence,8,none,none,yes,none,medium
P02.2,21,P02.2-icontracts-module.md,02-structural-foundations,backend,catalog,contracts-interface,feature-implement,Implement IContractsModule cross-module interface reading from ContractsDbContext,6,none,"P03.1,P01.10",yes,group-D,medium
P02.3,22,P02.3-ichangeintelligence-module.md,02-structural-foundations,backend,changegovernance,change-interface,feature-implement,Implement IChangeIntelligenceModule cross-module interface,6,none,"P03.2,P01.1",yes,group-D,medium
P02.4,23,P02.4-icostintelligence-module.md,02-structural-foundations,backend,operationalintelligence,cost-interface,feature-implement,Implement ICostIntelligenceModule cross-module interface,5,P02.8b,P03.3,no,none,medium
P02.5,24,P02.5-iruntimeintelligence-module.md,02-structural-foundations,backend,operationalintelligence,runtime-interface,feature-implement,Implement IRuntimeIntelligenceModule cross-module interface,5,P02.8a,none,no,none,medium
P02.6,25,P02.6-iaiorchestration-module.md,02-structural-foundations,backend,aiknowledge,orchestration-interface,feature-implement,Implement IAiOrchestrationModule cross-module interface,5,"P01.7,P02.8c",none,no,none,medium
P02.7,26,P02.7-iexternalai-module.md,02-structural-foundations,backend,aiknowledge,externalai-interface,feature-implement,Implement IExternalAiModule cross-module interface,5,"P01.9,P02.8d",none,no,none,medium
P02.8a,13,P02.8a-migration-runtimeintelligence.md,02-structural-foundations,database,operationalintelligence,runtime-migration,migration,Generate EF Core migration for RuntimeIntelligenceDbContext,3,none,P02.5,yes,group-C,low
P02.8b,14,P02.8b-migration-costintelligence.md,02-structural-foundations,database,operationalintelligence,cost-migration,migration,Generate EF Core migration for CostIntelligenceDbContext,3,none,P02.4,yes,group-C,low
P02.8c,15,P02.8c-migration-aiorchestration.md,02-structural-foundations,database,aiknowledge,orchestration-migration,migration,Generate EF Core migration for AiOrchestrationDbContext,3,none,P02.6,yes,group-C,low
P02.8d,16,P02.8d-migration-externalai.md,02-structural-foundations,database,aiknowledge,externalai-migration,migration,Generate EF Core migration for ExternalAiDbContext,3,none,P02.7,yes,group-C,low
P02.8e,17,P02.8e-migration-integrations.md,02-structural-foundations,database,integrations,integrations-migration,migration,Generate EF Core migration for IntegrationsDbContext,3,none,P04.4,yes,group-C,low
P02.8f,18,P02.8f-migration-knowledge.md,02-structural-foundations,database,knowledge,knowledge-migration,migration,Generate EF Core migration for KnowledgeDbContext,3,none,P03.5,yes,group-C,low
P02.8g,19,P02.8g-migration-productanalytics.md,02-structural-foundations,database,productanalytics,analytics-migration,migration,Generate EF Core migration for ProductAnalyticsDbContext,3,none,none,yes,group-C,low
P03.1,27,P03.1-governance-teams-domains-real.md,03-governance-finops-knowledge,backend,governance,teams-domains,feature-implement,Replace IsSimulated Teams/Domains handlers with real cross-module data,6,"P02.2,P02.3",P03.2,no,none,medium
P03.2,28,P03.2-governance-handlers-real.md,03-governance-finops-knowledge,backend,governance,governance-handlers,feature-implement,Systematically replace CAN_REPLACE_NOW Governance mock handlers,10,"P03.1,P02.2,P02.3",P03.4,no,none,high
P03.3,29,P03.3-finops-costintelligence-real.md,03-governance-finops-knowledge,backend,governance,finops,feature-implement,Connect FinOps handlers to ICostIntelligenceModule real data,6,"P02.4,P02.8b",none,no,none,medium
P03.4,32,P03.4-remove-issimulated-real.md,03-governance-finops-knowledge,backend,governance,governance-cleanup,cleanup,Remove IsSimulated flag from handlers confirmed to return real data,8,P03.2,P06.6,no,none,medium
P03.5,30,P03.5-knowledge-hub-persistence.md,03-governance-finops-knowledge,backend,knowledge,knowledge-persistence,feature-implement,Connect Knowledge Hub endpoints to KnowledgeDbContext with FTS search,5,P02.8f,P03.6,no,none,medium
P03.6,31,P03.6-runbooks-knowledge-link.md,03-governance-finops-knowledge,backend,knowledge,knowledge-runbooks,feature-implement,Link RunbookRecord to Knowledge Hub via KnowledgeRelation,5,"P01.4,P03.5",none,no,none,low
P04.1,33,P04.1-otel-endpoint-per-environment.md,04-integrations-observability,config,platform,otel-config,config-fix,Replace hardcoded localhost:4317 OTEL endpoint with env-configurable value,5,none,P04.2,yes,none,low
P04.2,34,P04.2-validate-otel-pipeline.md,04-integrations-observability,infra,platform,otel-pipeline,validation,Validate OTEL → Collector → ClickHouse pipeline end-to-end in Docker Compose,5,P04.1,none,no,none,medium
P04.3,35,P04.3-ingestion-semantic-processing.md,04-integrations-observability,backend,platform,ingestion,feature-implement,Make Ingestion API process payloads semantically instead of metadata-only,6,none,P04.5,yes,none,medium
P04.4,36,P04.4-github-actions-connector.md,04-integrations-observability,backend,integrations,cicd-connector,feature-implement,Implement first real CI/CD connector for GitHub Actions webhooks,7,P02.8e,P04.6,no,none,medium
P04.5,37,P04.5-canonical-deploy-event.md,04-integrations-observability,backend,operationalintelligence,deploy-events,feature-implement,Define canonical deploy event model with mappers from multiple sources,6,"P04.3|P04.4",P04.6,no,none,medium
P04.6,38,P04.6-deploy-release-correlation.md,04-integrations-observability,backend,operationalintelligence,deploy-correlation,feature-implement,Link canonical deploy events to Change Intelligence releases,6,"P04.5,P01.1,P02.3",none,no,none,medium
P05.1,39,P05.1-e2e-pr-gate.md,05-quality-hardening,ci-cd,platform,e2e-gate,pipeline-config,Make E2E tests mandatory gate on PR merges,4,"P01.3,P01.8",none,no,none,medium
P05.2,40,P05.2-code-coverage-gates.md,05-quality-hardening,ci-cd,platform,coverage,pipeline-config,Add code coverage tracking and enforcement thresholds,5,none,none,yes,group-E,low
P05.3,41,P05.3-nullable-warnings.md,05-quality-hardening,backend,cross-cutting,nullable,code-quality,Reduce 516 CS8632 nullable warnings in core modules,12,none,none,yes,group-E,low
P05.4,42,P05.4-stricter-smoke-checks.md,05-quality-hardening,ci-cd,platform,smoke-checks,pipeline-config,Add per-module status endpoint checks to staging smoke,3,none,none,yes,group-E,low
P05.5,43,P05.5-migration-validation-pipeline.md,05-quality-hardening,ci-cd,platform,migration-gate,pipeline-config,Validate all DbContext migrations apply cleanly in CI,4,P02.8a-g,none,no,none,medium
P05.6,44,P05.6-api-keys-secure-storage.md,05-quality-hardening,backend,identityaccess,api-keys,security,Move API Keys from appsettings.json to encrypted database storage,7,none,none,yes,group-E,medium
P06.1,45,P06.1-archive-historical-docs.md,06-cleanup-consolidation,documentation,cross-cutting,doc-archive,cleanup,Move e14-e18 + p0-p1 + n-trail docs to archive,5,P00.2,none,yes,group-F,low
P06.2,46,P06.2-consolidate-duplicate-docs.md,06-cleanup-consolidation,documentation,cross-cutting,doc-consolidate,cleanup,Merge overlapping status/roadmap documents into canonical versions,6,P00.1,none,yes,group-F,low
P06.3,47,P06.3-remove-commercial-governance.md,06-cleanup-consolidation,codebase,cross-cutting,commercial-gov,cleanup,Remove all references to removed Commercial Governance module,4,none,none,yes,group-F,low
P06.4,48,P06.4-remove-inmemory-incident-store.md,06-cleanup-consolidation,codebase,operationalintelligence,incident-store,cleanup,Verify and remove InMemoryIncidentStore residue,3,P01.2,none,yes,group-F,low
P06.5,49,P06.5-consolidate-roadmap.md,06-cleanup-consolidation,documentation,cross-cutting,roadmap,cleanup,Create single authoritative ROADMAP.md from audit findings,4,P00.1,none,yes,group-F,low
P06.6,50,P06.6-cleanup-replaced-mocks.md,06-cleanup-consolidation,codebase,governance,mock-cleanup,cleanup,Remove mock code confirmed replaced by real implementations,8,P03.4,none,no,none,medium
